,Accuracy
0,0.498455380797
1,0.549169674277
2,0.596919689178
3,0.632553625107
4,0.663553634167
5,0.688687571764
6,0.705937575817
7,0.724544719696
8,0.73685722518
9,0.7500000875
10,0.760205449343
11,0.767339380503
12,0.775473310709
13,0.782892957211
14,0.787455458164
15,0.792241173029
16,0.796678674698
17,0.80070546174
18,0.801759034157
19,0.806071536541
20,0.807250105381
21,0.809741179228
22,0.811866179943
23,0.813482253313
24,0.815759039164
25,0.815839399815
26,0.819035829067
27,0.819910827875
28,0.821741183281
29,0.822901899099
30,0.823580472946
31,0.825062616348
32,0.824348329782
33,0.825741186857
34,0.825696545362
35,0.82768761611
36,0.828214398861
37,0.828116188526
38,0.82911618948
39,0.829401904821
40,0.829651903152
41,0.830455473185
42,0.831419760704
43,0.831750114918
44,0.83180368638
45,0.831696546555
46,0.833500119209
47,0.832723335028
48,0.833241191626
49,0.832803689957
50,0.832205475569
51,0.834098334312
52,0.834259048939
53,0.833428686857
54,0.834384049892
55,0.835348334074
56,0.834866191864
57,0.834285832882
58,0.834178688288
59,0.835107263565
60,0.833714404583
61,0.834616191864
62,0.834294760466
63,0.83464297533
64,0.834553689957
65,0.833410836458
66,0.835232263803
67,0.835009047508
68,0.834964408875
69,0.834357262135
70,0.833973332882
71,0.835196551561
72,0.835241194487
73,0.834232263803
74,0.83517869401
75,0.833946546316
76,0.834517973185
77,0.835026904345
78,0.835009048223
79,0.83450011611
80,0.834669764519
81,0.835035833836
82,0.835035831928
83,0.834794762135
84,0.835375117779
85,0.834759048939
86,0.834142977715
87,0.834580476284
88,0.834705476284
89,0.835009050131
90,0.834928692102
91,0.835044760227
92,0.835732265472
93,0.835321552753
94,0.835678691626
95,0.834946546793
96,0.83529476428
97,0.835500120878
98,0.836089406013
99,0.835044761896
